Memory Summary:
Number of Weights:,1809
Weights Size (KB):,2628
==================================================================

Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, start, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.0112941, 0, 0.000137813, 0.409997%, 32.8894%, 0, 1, [vehicle_cnn/conv_2/conv1d/ExpandDims]:8
CONV_2D, 0.0114809, 0.012, 0.011892, 35.3791%, 68.2685%, 0, 1, [vehicle_cnn/conv_2/conv1d2]:9
SQUEEZE, 0.0234224, 0, 0.000203096, 0.604218%, 68.8727%, 0, 1, [vehicle_cnn/conv_2/conv1d/Squeeze]:10
ADD, 0.0236734, 0.001, 0.000790879, 2.35289%, 71.2256%, 0, 1, [vehicle_cnn/conv_2/BiasAdd]:11
RELU, 0.0245092, 0, 0.000342587, 1.01921%, 72.2448%, 0, 1, [vehicle_cnn/conv_2/Relu]:12
EXPAND_DIMS, 0.024895, 0, 0.000168243, 0.500528%, 72.7453%, 0, 1, [vehicle_cnn/max_pool_2/ExpandDims]:13
MAX_POOL_2D, 0.0251643, 0.002, 0.00188278, 5.60133%, 78.3466%, 0, 1, [vehicle_cnn/max_pool_2/MaxPool]:14
SQUEEZE, 0.0270938, 0, 0.000122941, 0.365753%, 78.7124%, 0, 1, [vehicle_cnn/max_pool_2/Squeeze]:15
REDUCE_MAX, 0.0272656, 0.006, 0.00669852, 19.9283%, 98.6407%, 0, 1, [vehicle_cnn/global_max/Max]:16
FULLY_CONNECTED, 0.0340197, 0.001, 0.000296141, 0.881028%, 99.5217%, 0, 1, [vehicle_cnn/fully_connected_output/BiasAdd]:17
LOGISTIC, 0.03436, 0, 0.000160769, 0.478292%, 100%, 0, 1, [Identity]:18

============================== Top by Computation Time ==============================
node type, start, first, avg_ms, %, cdf%, mem KB, times called, name
CONV_2D, 0.0114809, 0.012, 0.011892, 35.3791%, 35.3791%, 0, 1, [vehicle_cnn/conv_2/conv1d2]:9
REDUCE_MAX, 0.0272656, 0.006, 0.00669852, 19.9283%, 55.3074%, 0, 1, [vehicle_cnn/global_max/Max]:16
CONV_2D, 0.000160692, 0.006, 0.00559998, 16.6601%, 71.9675%, 0, 1, [vehicle_cnn/conv_1/conv1d2]:1
MAX_POOL_2D, 0.00777913, 0.004, 0.00329401, 9.79977%, 81.7673%, 0, 1, [vehicle_cnn/max_pool_1/MaxPool]:6
MAX_POOL_2D, 0.0251643, 0.002, 0.00188278, 5.60133%, 87.3686%, 0, 1, [vehicle_cnn/max_pool_2/MaxPool]:14
ADD, 0.00605018, 0.001, 0.00107817, 3.2076%, 90.5762%, 0, 1, [vehicle_cnn/conv_1/BiasAdd]:3
ADD, 0.0236734, 0.001, 0.000790879, 2.35289%, 92.9291%, 0, 1, [vehicle_cnn/conv_2/BiasAdd]:11
RELU, 0.0245092, 0, 0.000342587, 1.01921%, 93.9483%, 0, 1, [vehicle_cnn/conv_2/Relu]:12
RELU, 0.00718045, 0.001, 0.00033763, 1.00446%, 94.9528%, 0, 1, [vehicle_cnn/conv_1/Relu]:4
FULLY_CONNECTED, 0.0340197, 0.001, 0.000296141, 0.881028%, 95.8338%, 0, 1, [vehicle_cnn/fully_connected_output/BiasAdd]:17

Number of nodes executed: 19
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
CONV_2D, 2, 0.016, 59.2593%, 59.2593%, 0, 2
REDUCE_MAX, 1, 0.006, 22.2222%, 81.4815%, 0, 1
MAX_POOL_2D, 2, 0.004, 14.8148%, 96.2963%, 0, 2
ADD, 2, 0.001, 3.7037%, 100%, 0, 2
SQUEEZE, 4, 0, 0%, 100%, 0, 4
RELU, 2, 0, 0%, 100%, 0, 2
LOGISTIC, 1, 0, 0%, 100%, 0, 1
FULLY_CONNECTED, 1, 0, 0%, 100%, 0, 1
EXPAND_DIMS, 4, 0, 0%, 100%, 0, 4

Timings (microseconds): count=13112 first=35 curr=64 min=29 max=228 avg=33.6131 std=5
Memory (bytes): count=0
19 nodes observed


